Sat.ElapsedSecs           Sat.Earth.RMAG            Sat.Earth.Latitude        Sat.Earth.Longitude       Sat.EarthMJ2000Eq.RAAN    Sat.VX                    Sat.VY                    Sat.VZ                    
0                         6969.024                  0.1400003696963729        -100.5794252793815        0                         0                         -1.026903488505716        7.496578287669402         
59.99999988125637         6969.018711760367         3.860631046244463         -101.3375794868423        1.478779333471098e-06     -0.4927463674035351       -1.02472122420655         7.480623643087732         
150.2422690275125         6968.991367961247         9.454989726242825         -102.4875765437623        2.552768925101087e-05     -1.22920040456694         -1.013258034419563        7.396748697142756         
244.5873602293432         6968.940286759916         15.29927973173327         -103.7171991431393        0.0001164548505354218     -1.98625864276356         -0.9908854536627175       7.233023610467098         
339.391823625192          6968.870635327904         21.16467083203653         -105.0007411652375        0.0003171134160218306     -2.725772701114977        -0.9579507466323423       6.991988684677751         
434.290688415058          6968.78940451667          27.02551729904756         -106.3583274059615        0.0006661108940120033     -3.43682419896568         -0.9148495850886682       6.676543913079303         
529.2392310686409         6968.705067808149         32.87573529665306         -107.8217169902015        0.001196312982932403      -4.11143952297765         -0.8620498947778363       6.290120825109507         
624.222032551188          6968.627251946644         38.71047689695104         -109.4353952487913        0.001934623389288778      -4.742300495682675        -0.8001221443114939       5.836901522672084         
719.2341850488447         6968.566349783592         44.52441956440055         -111.2645615991029        0.002901747660877226      -5.322662828458002        -0.7297320369519968       5.321764688455606         
814.2872801050544         6968.533098211419         50.31107848329464         -113.410387228775         0.004109937219483199      -5.846435946934047        -0.6516218009501321       4.750151445284358         
909.3999035423622         6968.538083146257         56.0600932351309          -116.0397001927823        0.005558381841329938      -6.308149425909778        -0.5666033239196083       4.128019557531769         
1004.580831213389         6968.591137486809         61.75156741927572         -119.4482878161237        0.007228912357825964      -6.702910787227096        -0.4755636593561516       3.461886358489483         
1099.822606157977         6968.700693247561         67.3443983422943          -124.2109826505678        0.009086013387651304      -7.026459768857132        -0.3794661471392214       2.758834961681131         
1195.105033542495         6968.873221142449         72.74473772908458         -131.5807629016242        0.01108280355719311       -7.275275100365677        -0.2793414676379642       2.026442300326606         
1290.411662100814         6969.112871237842         77.70071204694717         -144.6520474177183        0.01317055496015221       -7.446683155492799        -0.1762613224984932       1.272578868999217         
1385.739230748732         6969.421295501704         81.41191656420004         -170.878854706669         0.01530611782940217       -7.538875562248045        -0.07131561469770807      0.5052372932469793        
1481.092486367561         6969.797531839723         81.92904167834456         147.3439224585498         0.01745308756863966       -7.550872680535766        0.03439469076472592       -0.2675188027395001       
1576.472529082093         6970.237889910932         78.79939259221398         116.3937258782289         0.01957734850487802       -7.48251091998071         0.1397562782893645        -1.037539926227486        
1671.866264578421         6970.735885291353         74.0385615436068          100.9477801491525         0.02164160104727738       -7.334480024649872        0.2436434718012389        -1.796584715109865        
1767.25014107069          6971.282365847824         68.71253727144502         92.56210343338944         0.02360402764758394       -7.108365967332175        0.3449353574581581        -2.536442553661001        
1862.606827507261         6971.865881297315         63.15411657685379         87.3083032179282          0.02542259348223873       -6.806618641032279        0.4425466646960879        -3.249161388885557        
1957.932702591643         6972.473110149572         57.48025612572113         83.63164760767738         0.02706181082047334       -6.432469655912036        0.5354457456446788        -3.927184034000523        
