Sat.ElapsedSecs           Sat.Earth.RMAG            Sat.Earth.Latitude        Sat.Earth.Longitude       Sat.VX                    Sat.VY                    Sat.VZ                    
0                         6778                      0.1400246931968212        -100.5794252793815        0                         8.253957722566588         4.481533390042221         
59.99999988125637         6785.778777766417         2.423375337400406         -96.64444055730279        -0.5203259087078059       8.23495348722842          4.471176048437431         
144.9253577389754         6823.175428793586         5.609886531263407         -91.08527889715857        -1.245276718513478        8.14419657339363          4.421745349378059         
233.8538823765703         6894.598796741443         8.829835612112406         -85.29478282771262        -1.974494158030435        7.973617374367223         4.328856667205066         
324.8920104000717         7000.156912762114         11.93933886848009         -79.42153203442211        -2.67351530680899         7.727934583373046         4.195090234870679         
418.7226106412709         7140.708428704615         14.89160742340952         -73.45152686495632        -3.33074698424045         7.412154627974361         4.023185544673099         
516.2868376588449         7317.624142311697         17.6473383774851          -67.36344664355907        -3.937175414428638        7.032018047372187         3.816283477203138         
551.7388427979313         7388.933652042939         18.56415507107523         -65.18749792996081        -4.137211035462656        6.883970139101252         3.735713964514798         
597.1348316059448         7485.241237885933         19.67075512500514         -62.43314496932026        -4.377417691358694        6.688521270631777         3.629357077754028         
657.6288824435323         7621.650749020472         21.0273714674821          -58.82338959533615        -4.66996171997958         6.420177301252555         3.483349159206202         
747.5610512425192         7839.625803288853         22.79789049279193         -53.59868534926259        -5.048411650307919        6.010833514922171         3.260657476391277         
852.3877718718722         8113.12311118098          24.50463050637111         -47.74612844338447        -5.409552568580859        5.528431580302755         2.998274334304698         
961.389569810126          8415.305157990559         25.90199905207138         -41.95750842634592        -5.702652322803909        5.031986303532557         2.728312594849998         
1074.482685956173         8743.487776918519         26.98834781242245         -36.2923552928937         -5.929243062549735        4.531771576556629         2.456361606216237         
1193.168171751313         9099.515097109757         27.78338377297121         -30.73200677115709        -6.094950340298935        4.029980334065918         2.183614154084511         
1318.819362006616         9485.046086842342         28.30102168345322         -25.27548236739868        -6.203752181409381        3.529136874620796         1.911442346588287         
1452.481345727574         9900.619470700774         28.55277958767897         -19.94382332845788        -6.258697083745254        3.032987411499898         1.641881247336683         
1595.756927726325         10348.19529569769         28.55157816579797         -14.74157250127292        -6.2627252073609          2.543232299367592         1.375853381824589         
1750.289457128383         10829.37970615343         28.3092385770609          -9.680201691690273        -6.218185306695942        2.061883396068847         1.114450087202376         
1917.576732777525         11344.63133526106         27.83842299548052         -4.781020103403093        -6.127276036586956        1.591748920313868         0.8591946028419057        
2099.027762445621         11893.29002868712         27.15398662744445         -0.06831313645116151      -5.992393192187298        1.135934842665385         0.6117710100370797        
2295.878570596687         12473.24631280549         26.27360249683649         4.432763343261982         -5.816346835682772        0.697734825488489         0.3739643542280699        
2509.210958972108         13081.0058437656          25.21732851365444         8.700604600028971         -5.602378690943974        0.2802422178373735        0.1474500295672556        
2740.009387757163         13711.90741094709         24.00631054872239         12.72043486202743         -5.353996877153128        -0.1139755934506832       -0.06638275537844318      
2989.273843669798         14360.47995117742         22.66094089155099         16.48630350706078         -5.074671800367658        -0.4831037491537317       -0.2665535521573063       
3032.209319458343         14468.67331882222         22.427571194816           17.08274405743292         -5.02588257444495         -0.5414576122436441       -0.2981925449748739       
3074.075461062603         14573.16590372516         22.19985990522153         17.65083425211516         -4.978184140155391        -0.5969922432739297       -0.3283015838326292       
3189.939672744367         14857.15082779159         21.56962821002523         19.15711979214599         -4.845706274599838        -0.7439715693320784       -0.4079821091806266       
3437.073709652759         15437.26733068875         20.23103812657827         22.07840235591405         -4.562164108343228        -1.027393815010729        -0.5616009031055105       
3737.482165906113         16095.4696311646          18.62636989590873         25.1766953661517          -4.218641020100778        -1.324195998088347        -0.7224225038797756       
4062.835053470917         16750.62939271771         16.92712736588308         28.07920794823589         -3.850932478597384        -1.59642759851301         -0.8698760376130008       
4411.939408967737         17387.87313718693         15.15385153264214         30.77656754829656         -3.463290380630858        -1.841494490580423        -1.002558275928904        
4785.618695290759         17996.02198150562         13.31306252214052         33.28598472359124         -3.057104136108021        -2.059142799959679        -1.120333771877102        
5184.73463075934          18562.96938061235         11.4079103548571          35.62858455963379         -2.633135413399697        -2.249150560636729        -1.223083654502436        
5609.699436218943         19074.98688077184         9.440412209011701         37.82687787067179         -2.191993982863005        -2.410983274066524        -1.310519094611462        
6054.411754827015         19511.80752907486         7.438074385963419         39.87984303584655         -1.740157818360476        -2.542264280911436        -1.381356684872236        
6516.405838227365         19860.50376693624         5.406578388740539         41.81621832964168         -1.279354539060265        -2.642829431486315        -1.435509514456082        
6993.070083518978         20109.84011833492         3.348744438384614         43.66939065252964         -0.8107333206009681       -2.71248776522647         -1.47287542504081         
7481.212031655014         20250.31823619192         1.266998442882606         45.47508746355437         -0.335407891585174        -2.750814553550267        -1.49322518601616         
7976.983771123923         20274.82899668029         -0.8357334539292832       47.27094185265598         0.1453464617125008        -2.757145745143891        -1.49619967301051         
8475.99252689397          20179.39169711919         -2.95571196848125         49.09635532173271         0.6300287791985055        -2.730618416149404        -1.48133188654245         
8973.560676479246         19963.69125342936         -5.088460503134281        50.99240711438971         1.116941176579576         -2.670202660676903        -1.448064226695463        
9465.092197107151         19631.18725712091         -7.229133238411537        53.00192677347927         1.604288280891961         -2.574686123686928        -1.395739981989801        
9946.357037918642         19188.80093651602         -9.372510684782522        55.16947013368691         2.090194232474268         -2.442616037804016        -1.323571817154513        
10413.6031114147          18646.43010328282         -11.51228854507012        57.54101052141834         2.572563178772975         -2.272256172459211        -1.230618494428678        
10863.52392715635         18016.53801087234         -13.63970392725532        60.16313059470036         3.048801386927163         -2.06162560370794         -1.115806133603553        
11286.76697288174         17325.10388142836         -15.70990855544299        63.03437765548287         3.508432356080691         -1.812863466350076        -0.9803049998834107       
11682.20403855667         16590.27170455887         -17.7086702168392         66.18443304749449         3.948114836321579         -1.525832641479952        -0.8240424333155079       
12049.85256493092         15828.42719886081         -19.62069743038158        69.64270433542389         4.364513745460179         -1.20018133903665         -0.6468289025023207       
12390.11991029838         15054.79403474681         -21.42602116614934        73.43370351532178         4.7535506159335           -0.8358300914899167       -0.4486231056559311       
12703.79380612867         14283.07275192379         -23.10010739680979        77.57631678811244         5.110484690080785         -0.4331228402501258       -0.2296139347107084       
12992.08503090777         13524.95002554211         -24.61457253890146        82.08411181933354         5.430100344932265         0.007168522721218616      0.009777194991224446      
13256.63618221879         12789.69494101061         -25.93793937324511        86.96654609289395         5.706861543402415         0.4839679903501203        0.2689636577210611        
13499.42588730482         12084.13679101599         -27.03579922533085        92.2296928673629          5.934891563378721         0.9959895889208488        0.5472446072873516        
13722.50090665184         11413.34972240814         -27.87013959200704        97.87266104993043         6.107727149163054         1.541404136885014         0.8436235778808886        
13927.73032210534         10781.50745290115         -28.39965012075571        103.8805418006268         6.218212453320438         2.117147003056096         1.156432068871241         
14116.40402589692         10193.32218484583         -28.58245586808122        110.2067470689318         6.258805050302113         2.717181802574059         1.482386139740876         
14289.0396569157          9654.743529971107         -28.38536545898555        116.7541904530847         6.223134964834924         3.33066164617044          1.8155880889053           
14446.01704550441         9170.76348211458          -27.79633949728444        123.3911170485706         6.108281620693941         3.943358965183585         2.148304144766189         
14588.57295163907         8742.093125228221         -26.82532545620766        130.0065167992056         5.914957537973675         4.542642662549484         2.47366786227971          
14718.82605504943         8365.370744593147         -25.49227269948129        136.5413927513953         5.64531381619046          5.119971668411684         2.787032983810552         
14839.16814050172         8035.665249825819         -23.81677624868891        142.9799597701753         5.301095046201618         5.669637740398948         3.08528909370109          
14951.79315260611         7748.443871596591         -21.81526695414204        149.3292810678826         4.883278242447237         6.186572775632104         3.36567009660155          
15058.65584495477         7500.088137929673         -19.49990148808434        155.612521978709          4.392026954971605         6.665437237235954         3.625258711523972         
15161.50348980445         7288.105612646629         -16.87880611418596        161.864839871084          3.826906440388267         7.099919256968593         3.860605608154215         
15262.04655300826         7111.049558404286         -13.95379333060309        168.1382725853408         3.186543611078027         7.482554983888099         4.067630996371194         
15360.72953370167         6970.413693269925         -10.76448214355907        174.4183925220026         2.478623791281155         7.800146996700539         4.239150014692771         
