Target: Sat1

Observer: ESOC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2025 00:23:13.545    01 Jan 2025 00:36:31.998      798.45330563    
01 Jan 2025 02:08:15.556    01 Jan 2025 02:20:52.244      756.68781978    
01 Jan 2025 03:55:00.746    01 Jan 2025 04:01:21.292      380.54663083    
01 Jan 2025 16:58:02.847    01 Jan 2025 17:02:24.692      261.84517405    
01 Jan 2025 18:37:33.700    01 Jan 2025 18:49:54.511      740.81045607    
01 Jan 2025 20:21:40.090    01 Jan 2025 20:34:58.389      798.29937931    
01 Jan 2025 22:07:09.648    01 Jan 2025 22:20:13.856      784.20773533    
01 Jan 2025 23:52:31.287    02 Jan 2025 00:05:48.106      796.81898224    
02 Jan 2025 01:37:32.361    02 Jan 2025 01:50:22.139      769.77764518    
02 Jan 2025 03:23:46.960    02 Jan 2025 03:31:37.016      470.05587236    
02 Jan 2025 18:07:08.604    02 Jan 2025 18:19:09.483      720.87924251    
02 Jan 2025 19:50:58.161    02 Jan 2025 20:04:16.538      798.37730712    
02 Jan 2025 21:36:23.752    02 Jan 2025 21:49:28.618      784.86652463    
02 Jan 2025 23:21:48.694    02 Jan 2025 23:35:03.464      794.76960849    
03 Jan 2025 01:06:49.803    03 Jan 2025 01:19:49.776      779.97319313    
03 Jan 2025 02:52:43.315    03 Jan 2025 03:01:40.817      537.50154984    
03 Jan 2025 17:36:46.562    03 Jan 2025 17:48:23.093      696.53153617    
03 Jan 2025 19:20:17.442    03 Jan 2025 19:33:34.834      797.39114991    
03 Jan 2025 21:05:37.769    03 Jan 2025 21:18:43.779      786.00961306    
03 Jan 2025 22:51:05.720    03 Jan 2025 23:04:18.228      792.50852797    


Number of events : 20


