Sat.ElapsedSecs           Sat.Earth.Latitude        Sat.Earth.Longitude       
0                         0.1400255816230603        -100.5794252793815        
59.99999988125637         3.212654408680936         -98.40682065591189        
146.8048329348676         7.645750212871768         -95.23433799769427        
237.2292249114253         12.23084168798601         -91.85109787645318        
328.0493305181153         16.78057667876213         -88.32147785907947        
418.928101065103          21.25309164759807         -84.60119396182468        
509.830587473698          25.61821469569577         -80.62872210953515        
534.6880532917567         26.78868814768211         -79.48962265406412        
557.649854477495          27.85983068879496         -78.41474070252144        
625.3776124329306         30.95657584707293         -75.10520445796644        
713.4287243708968         34.81805148902313         -70.44693586601194        
804.0956391720101         38.55345378724456         -65.15320824448028        
895.0823253602721         41.99428672129297         -59.24757318003058        
986.1342212883756         45.05385605267544         -52.66627336106478        
1077.219557238277         47.64390735761881         -45.36491310079901        
1168.332819384523         49.67059141627561         -37.35701244021261        
1259.468768304214         51.04351415891892         -28.74503330474458        
1350.623412115965         51.6907853156421          -19.73420268712674        
1441.790402785409         51.57490601346745         -10.612527017123          
1532.96452886425          50.70253740370715         -1.692996606744523        
1624.140199203975         49.1226675533747          6.756469663794253         
1715.311596973334         46.91431475027789         14.5608228535948          
1806.473163084593         44.17019124521677         21.64666312369386         
1897.619410743937         40.98288248847578         28.02152471486203         
1988.744819525164         37.43643984199451         33.74339490557603         
2079.847971524578         33.6027787066044          38.89456805034114         
2170.92531271046          29.54173122901077         43.56366856473394         
2261.974504846148         25.30233623030502         47.83626864067731         
2352.996089821681         20.92469956948777         51.7907897189958          
2443.990825780202         16.44205523708598         55.4973928241512          
2534.960541129112         11.88244517236036         59.01868536026098         
2600.537689018529         8.560900991317331         61.47459925276125         
2626.453038293403         7.242416214329748         62.43116786028188         
2650.11707333615          6.036217320301527         63.29923885173582         
2716.819997469429         2.627884985589067         65.72604700966671         
2804.667287401389         -1.868865185414748        68.90292870203746         
2895.233466604259         -6.496756092141894        72.19744951571995         
2986.102389462758         -11.11186846809104        75.57069088524352         
3077.00966267148          -15.679043742171          79.06426292909025         
3167.930611060001         -20.1731410591314         82.7325697947112          
3258.86724377051          -24.56693745098084        86.636855896912           
3349.823548598215         -28.82845920833087        90.84579380916719         
3440.80390058225          -32.91922260033891        95.43629353833964         
3531.810579809826         -36.79220149971456        100.4928142267284         
3622.845685633365         -40.3899303023532         106.1040457490794         
3713.909287832212         -43.64284402358692        112.3543966236241         
3805.00148384599          -46.46913137987969        119.3081645239861         
3896.119639032986         -48.77732333281567        126.9844388487251         
3987.259453162551         -50.4737595614199         135.3266415670527         
4078.418003360275         -51.47558370299886        144.178863214645          
4169.588671275415         -51.72696732603681        153.287440305049          
4260.766498488374         -51.21282627845338        162.3425147261615         
4351.945038267877         -49.96284936206884        171.0463080515243         
4443.117841368075         -48.04366120992702        179.1756202512298         
4534.278094558977         -45.54347622178469        -173.3905198501839        
4625.420354108792         -42.5563909821126         -166.6796508731188        
4716.539853962604         -39.17125805137049        -160.6540973569267        
4807.632502284832         -35.46604763983465        -155.2404465421242        
4898.696544533595         -31.50626713444118        -150.3513941550191        
4989.729198964778         -27.34591953870035        -145.8990874654709        
5080.730048159603         -23.02914827637517        -141.8013787852465        
5171.700179984327         -18.59225565904789        -137.9841437842913        
5262.641216337215         -14.06558832748618        -134.3812955467691        
5353.557278285734         -9.475016648403246        -130.9335761081224        
5444.451678777114         -4.843418727171444        -127.5870980421792        
5535.32969589578          -0.1916530307787505       -124.2915030826819        
5626.198058633599         4.460445921453766         -120.9982300744191        
5717.061955493409         9.093014469757973         -117.6588770844705        
5807.928002311382         13.68541545873751         -114.2233496024841        
5898.802973341662         18.21521032630735         -110.6381486945712        
5989.692486135755         22.65699596471703         -106.8446793121275        
6062.212112965062         26.1176231147837          -103.6257305023675        
6150.354153674562         30.19657034434288         -99.42683598385393        
6240.500171331223         34.18673127995655         -94.73619131620109        
6331.394469353836         37.97491386898628         -89.51660092616433        
6422.402942413464         41.47051382315697         -83.70989698209817        
6513.452175096609         44.5967228287148          -77.23981841065455        
6604.532712616492         47.26780869086572         -70.0539610098529         
6695.641815662384         49.39054696506822         -62.15407972343236        
6786.775185889564         50.87309245112569         -53.62680526524767        
6877.927987149451         51.63945756464934         -44.66138694471486        
