Target: Sat2

Observer: ESOC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2025 01:50:14.284    01 Jan 2025 01:59:45.198      570.91437812    
01 Jan 2025 03:32:25.595    01 Jan 2025 03:45:29.242      783.64736193    
01 Jan 2025 05:17:18.507    01 Jan 2025 05:30:31.731      793.22480571    
01 Jan 2025 07:02:52.345    01 Jan 2025 07:15:59.286      786.94080615    
01 Jan 2025 08:48:02.283    01 Jan 2025 09:01:21.351      799.06787211    
01 Jan 2025 10:33:13.313    01 Jan 2025 10:44:57.725      704.41201514    
02 Jan 2025 01:20:11.713    02 Jan 2025 01:28:44.717      513.00355482    
02 Jan 2025 03:01:51.007    02 Jan 2025 03:14:45.928      774.92120855    
02 Jan 2025 04:46:32.702    02 Jan 2025 04:59:47.814      795.11182179    
02 Jan 2025 06:32:06.573    02 Jan 2025 06:45:12.305      785.73178315    
02 Jan 2025 08:17:19.607    02 Jan 2025 08:30:39.271      799.66393481    
02 Jan 2025 10:02:26.346    02 Jan 2025 10:14:33.755      727.40835773    
02 Jan 2025 11:51:39.047    02 Jan 2025 11:52:11.500      32.452363078    
03 Jan 2025 00:50:18.119    03 Jan 2025 00:57:37.017      438.89748644    
03 Jan 2025 02:31:18.527    03 Jan 2025 02:44:02.105      763.57739529    
03 Jan 2025 04:15:47.540    03 Jan 2025 04:29:04.268      796.72764234    
03 Jan 2025 06:01:20.438    03 Jan 2025 06:14:25.441      785.00314881    
03 Jan 2025 07:46:36.779    03 Jan 2025 07:59:56.034      799.25519790    
03 Jan 2025 09:31:40.657    03 Jan 2025 09:44:06.840      746.18315186    
03 Jan 2025 11:18:55.531    03 Jan 2025 11:23:57.829      302.29795076    


Number of events : 20


