Sat2.ElapsedSecs          Sat2.Earth.Latitude       Sat2.Earth.Longitude      
0                         -0.06831858787070398      19.42050506541183         
59.99999988125637         2.873573447337042         21.2288426168392          
152.2271698107943         7.386538635386668         24.03278697826035         
250.5010247812606         12.16827673358607         27.09307185637983         
349.4568411377259         16.93560021270608         30.30139624231492         
448.5043268068694         21.63725883068917         33.69812077462903         
547.5823079352267         26.24422162954078         37.34747873803261         
646.687916025985          30.72498342263767         41.32582107814926         
726.3330627582036         34.20766914717739         44.82019659575325         
749.8241091496311         35.21097370113652         45.90964533983031         
773.6903395853005         36.21789188605216         47.04651282590191         
803.0848303693347         37.43970094574907         48.49056581688168         
848.7085189204663         39.29248072629411         50.83432359654646         
939.3690162221901         42.79308928782405         55.90218118543946         
1037.602089880966         46.25563052053896         62.09558507532414         
1136.741781409364         49.31201738103453         69.1826182010133          
1158.620310772676         49.91674491533586         70.86634940831907         
1182.313511695247         50.54014711546599         72.73913611561215         
1211.358711286448         51.25742265145164         75.1045959959353          
1256.816363660619         52.26956274969279         78.95718399036627         
1347.362995531876         53.84470566129169         87.13323217577089         
1445.640776690561         54.81656021815075         96.59015463938019         
1544.834206171799         54.95620192281064         106.4106560008223         
1644.138426391874         54.23976728215524         116.0968860384997         
1743.456976837479         52.71613127291292         125.2544928544536         
1842.777535167988         50.47930632973396         133.6267531518494         
1942.094390478451         47.64343370659338         141.1095418353687         
2041.404828603845         44.32175296782589         147.7181493979718         
2140.704914554954         40.61465570841304         153.5369275080078         
2239.992968284059         36.60545878242172         158.6784701089178         
2266.456853609998         35.49465528670445         159.9495802498138         
2296.733704197686         34.20474386800214         161.3577309751076         
2377.45824434096          30.67703354030861         164.8939950029875         
2474.423594854306         26.29704395127712         168.7823490824155         
2573.369337210897         21.70214819575479         172.4264046243065         
2672.525122622028         17.0013577631107          175.825802502139          
2696.30369291408          15.86272550248103         176.610973185646          
2729.024845396634         14.28989345940062         177.6754865532926         
2813.190543826204         10.21759529363284         -179.6575347541746        
2910.545797110535         5.472560254733242         -176.6652751157355        
3009.483224095311         0.6302429317115432        -173.6785917363135        
3108.593042206485         -4.222839710839414        -170.6929594353409        
3207.718377420679         -9.060936850386591        -167.6645061801834        
3306.847253465094         -13.86460431773506        -164.5431169164597        
3405.984115158208         -18.61347558229864        -161.2741834052563        
3505.133897345513         -23.28435755582418        -157.7967697255403        
3604.301442147698         -27.849816345517          -154.0411951818466        
3703.491371660493         -32.27641870874371        -149.9266516961048        
3802.707906276919         -36.5225121166844         -145.359377040424         
3863.976560009178         -39.03146640376014        -142.267561476762         
3896.901007380802         -40.33782345035176        -140.5088781550682        
3926.901607203763         -41.49989684729635        -138.8425091874613        
3974.468983663246         -43.28185638713372        -136.0674027802891        
4065.810505987611         -46.46431601480108        -130.2399751295422        
4164.18288530549          -49.46663190326203        -123.1595815268454        
4263.386410474777         -51.94239329413214        -115.1303534501326        
4362.690994678997         -53.75040516806029        -106.2515972213139        
4462.010305153672         -54.7834347049353         -96.72599058459662        
4561.331557820085         -54.97187968075357        -86.89748494443458        
4660.650454019196         -54.30212995596386        -77.18954565297793        
4759.963103709742         -52.82079308164262        -67.99273956903481        
4859.266347647645         -50.62007008817906        -59.57146511174987        
4958.55760902632          -47.81358861525075        -52.03757851707781        
5057.835486601107         -44.51503004445775        -45.38105538032706        
5157.095489976928         -40.82572689471235        -39.52022013911681        
5213.675200939178         -38.58060346148947        -36.49254419963289        
5277.435770281591         -35.9475795271244         -33.31941737770187        
5346.597329049837         -32.98631205809439        -30.12986717946136        
5438.634089066181         -28.90531287872737        -26.23238677022694        
5536.97164314799          -24.40355740245958        -22.42706876301231        
5636.003456125036         -19.75651353504529        -18.88918705776503        
5735.092329431791         -15.02164170520452        -15.57323541828625        
5834.172371251043         -10.22639360992313        -12.41897291287541        
5933.240656508133         -5.392163505777999        -9.370660977015769        
6032.292879628949         -0.5384387370722538       -6.377136628528761        
6131.333808554336         4.316735819648527         -3.389325772004333        
6230.370915960521         9.155556135401305         -0.358335335126669        
6329.41103487974          13.95940579576049         2.7665618798401           
6428.460143704433         18.7078822025475          6.040106987509084         
6527.526108326856         23.37779883846789         9.523466658245146         
6626.614570186939         27.94159484851069         13.28653805517729         
6725.730193499476         32.36563870721005         17.41036018613401         
6824.877576471772         36.60805169075613         21.98895449295353         
6924.073694658            40.61649190261615         27.13008604569218         
7023.293103429023         44.32299794904387         32.94834104710971         
7122.534579760395         47.64426133867584         39.55629560228232         
7183.947362413164         49.46304663361691         44.07945108550457         
7204.368887760211         50.02214421136722         45.65970314120534         
7229.884149308782         50.68617241381686         47.687715883666           
7259.801350871567         51.41339650064523         50.14080797453425         
7306.522298546042         52.43088145711799         54.1297861306414          
7397.737407416571         53.96147594039523         62.42215909660407         
7496.09627625905          54.86380893976696         71.92613681184599         
