Sat.UTCGregorian           Sat.Earth.Latitude        Sat.Earth.Longitude       
22 Jan 2025 00:00:00.000   0.1404471605943111        -121.2772745541564        
22 Jan 2025 00:01:00.000   3.21308007965789          -119.1046742763876        
22 Jan 2025 00:02:26.738   7.642797040266419         -115.9346469351689        
22 Jan 2025 00:03:57.159   12.22773788087604         -112.551626928653         
22 Jan 2025 00:05:28.017   16.77940479094325         -109.0206267389872        
22 Jan 2025 00:06:58.938   21.25402183152787         -105.2986250177515        
22 Jan 2025 00:08:29.885   25.62122541980157         -101.3241070815315        
22 Jan 2025 00:10:00.854   29.8472063013308          -97.0266123100397         
22 Jan 2025 00:11:31.848   33.89140650162413         -92.327269731356          
22 Jan 2025 00:13:02.868   37.70429905243837         -87.14014562444385        
22 Jan 2025 00:14:33.914   41.22545351331593         -81.37668155418073        
22 Jan 2025 00:16:04.984   44.38220075477523         -74.9557286328216         
22 Jan 2025 00:17:36.079   47.08997836134138         -67.82165738672485        
22 Jan 2025 00:19:07.192   49.25588433884158         -59.97172005297578        
22 Jan 2025 00:20:38.321   50.78778675592611         -51.48547497949038        
22 Jan 2025 00:22:09.463   51.60818469188177         -42.54473453950072        
22 Jan 2025 00:23:40.611   51.67057224428483         -33.42231911241736        
22 Jan 2025 00:25:11.760   50.97124415952793         -24.43152563015175        
22 Jan 2025 00:26:42.907   49.55025116817057         -15.8559243074318         
22 Jan 2025 00:28:14.046   47.48108762253452         -7.894042685003891        
22 Jan 2025 00:29:45.173   44.85463380494977         -0.6415922704718052       
22 Jan 2025 00:31:16.284   41.76436043042564         5.892920106171089         
22 Jan 2025 00:32:47.376   38.29661320186887         11.75844494343932         
22 Jan 2025 00:34:18.447   34.52612200250145         17.03344812880124         
22 Jan 2025 00:35:49.497   30.51523919483623         21.80620769148063         
22 Jan 2025 00:37:20.524   26.31522719756495         26.16344861483658         
22 Jan 2025 00:38:51.531   21.96795347296545         30.18539162809963         
22 Jan 2025 00:40:22.518   17.50803737615558         33.94401515603123         
22 Jan 2025 00:41:53.489   12.96450211962182         37.50356244538735         
22 Jan 2025 00:43:24.446   8.362366528357642         40.92175012076986         
22 Jan 2025 00:44:55.393   3.723870684355088         44.25143872251447         
22 Jan 2025 00:46:26.333   -0.9303507852204953       47.54230031420021         
22 Jan 2025 00:47:57.272   -5.580539261837287        50.84272008449219         
22 Jan 2025 00:49:28.215   -10.20668223461871        54.20136708092333         
22 Jan 2025 00:50:59.164   -14.78767120193889        57.66898145226636         
22 Jan 2025 00:52:30.040   -19.29614902446338        61.29664599722841         
22 Jan 2025 00:54:01.008   -23.71376013350768        65.15083565272569         
22 Jan 2025 00:55:32.002   -28.00610983420336        69.29615743690076         
22 Jan 2025 00:57:03.018   -32.13563115291471        73.8075985980753          
22 Jan 2025 00:58:34.055   -36.05697134006625        78.76825054699792         
22 Jan 2025 01:00:05.115   -39.71475472099755        84.26639833478525         
22 Jan 2025 01:01:36.197   -43.04180948978536        90.38820992667095         
22 Jan 2025 01:03:07.301   -45.95859494987802        97.20343620938492         
22 Jan 2025 01:04:38.423   -48.37512101187594        104.7420105118112         
22 Jan 2025 01:06:09.558   -50.19742256234571        112.9641735731444         
22 Jan 2025 01:07:40.705   -51.33948459070923        121.7340820694433         
22 Jan 2025 01:09:11.857   -51.7391674163856         130.815036218712          
22 Jan 2025 01:10:43.011   -51.37297758428812        139.9033303105435         
22 Jan 2025 01:12:14.158   -50.26234132474286        148.693362777555          
22 Jan 2025 01:13:45.296   -48.46781427529243        156.9445805605337         
22 Jan 2025 01:15:16.420   -46.07468819421486        164.5161284202218         
22 Jan 2025 01:16:47.525   -43.17684281270386        171.3644045266585         
22 Jan 2025 01:18:18.609   -39.86461171885004        177.5168830431358         
22 Jan 2025 01:19:49.668   -36.21817442765352        -176.9580361523926        
22 Jan 2025 01:21:20.702   -32.30531278408652        -171.9745265807446        
22 Jan 2025 01:22:51.710   -28.18202251210639        -167.4442373094292        
22 Jan 2025 01:24:22.692   -23.89408312675651        -163.2836745784774        
22 Jan 2025 01:25:53.651   -19.47906046433217        -159.4171368308538        
22 Jan 2025 01:27:24.589   -14.96827258924598        -155.7770888259382        
22 Jan 2025 01:28:55.510   -10.38830913676523        -152.3030844443203        
22 Jan 2025 01:30:26.417   -5.762531199516594        -148.9403450575711        
22 Jan 2025 01:31:57.315   -1.11212656525486         -145.6379688313764        
22 Jan 2025 01:33:28.211   3.542904929300283         -142.3471766987349        
22 Jan 2025 01:34:59.108   8.182707532936575         -139.0196629487513        
22 Jan 2025 01:36:30.012   12.78678436510226         -135.6057793851657        
22 Jan 2025 01:38:00.926   17.33294558789414         -132.0528671488545        
22 Jan 2025 01:39:31.856   21.79636610285777         -128.3034222217109        
22 Jan 2025 01:41:02.806   26.14829672141604         -124.2934578980511        
22 Jan 2025 01:42:33.778   30.35445367001844         -119.9512856232597        
22 Jan 2025 01:44:04.775   34.37324852753974         -115.1971063888489        
22 Jan 2025 01:45:35.797   38.15397836387789         -109.9442687203422        
22 Jan 2025 01:47:06.845   41.63477956150723         -104.1043940096494        
22 Jan 2025 01:48:37.918   44.74140659651172         -97.59836695177022        
22 Jan 2025 01:50:09.013   47.38797248407907         -90.37548637377611        
22 Jan 2025 01:51:40.129   49.48118713759521         -82.44113634333598        
22 Jan 2025 01:53:11.261   50.92975446716289         -73.88699832812813        
22 Jan 2025 01:54:42.405   51.6590930627972          -64.90744886769853        
22 Jan 2025 01:56:13.555   51.62746229637526         -55.78362929341013        
22 Jan 2025 01:57:44.707   50.83668936985662         -46.82909315282856        
22 Jan 2025 01:59:15.855   49.33167912749293         -38.31953380755755        
22 Jan 2025 02:00:46.995   47.18897174794471         -30.44101997015948        
22 Jan 2025 02:02:18.122   44.50053362205637         -23.27734193300626        
22 Jan 2025 02:03:49.232   41.35934162189796         -16.82813236013382        
22 Jan 2025 02:05:20.323   37.85047204656852         -11.03944753943718        
22 Jan 2025 02:06:51.391   34.04718288709815         -5.830799119768137        
22 Jan 2025 02:08:22.438   30.01038009314755         -1.11359822469059         
22 Jan 2025 02:09:53.461   25.79008436646708         3.198278496540356         
22 Jan 2025 02:11:24.462   21.42723092425619         7.184038988885168         
22 Jan 2025 02:12:55.444   16.95558012857375         10.91475693088294         
22 Jan 2025 02:14:26.409   12.40356769051537         14.45380903267049         
22 Jan 2025 02:15:57.360   7.795853906435755         17.85818685934018         
22 Jan 2025 02:17:28.302   3.15434185634074          21.18032438890558         
22 Jan 2025 02:18:59.239   -1.500511861261002        24.46965130391936         
22 Jan 2025 02:20:30.175   -6.148873879372411        27.7744261724513          
22 Jan 2025 02:22:01.116   -10.77069720702681        31.14351073882874         
22 Jan 2025 02:23:32.065   -15.34471350927026        34.62804879068863         
22 Jan 2025 02:25:03.034   -19.84780334277723        38.283534632062           
22 Jan 2025 02:26:34.011   -24.2522257509831         42.1701908041609          
22 Jan 2025 02:28:05.006   -28.52670199508466        46.35645897014135         
22 Jan 2025 02:29:36.021   -32.63319254679541        50.91868953041432         
22 Jan 2025 02:31:07.058   -36.5252359558504         55.9408489241808          
22 Jan 2025 02:32:38.118   -40.14612395395457        61.5115401062399          
22 Jan 2025 02:34:09.200   -43.42709643563737        67.71577194621835         
22 Jan 2025 02:35:40.302   -46.2871375932321         74.61978032136344         
22 Jan 2025 02:37:11.421   -48.63535687851332        82.24666948144601         
22 Jan 2025 02:38:42.556   -50.37803646858102        90.54615772879644         
22 Jan 2025 02:40:13.700   -51.43114157252371        99.3693102686796          
22 Jan 2025 02:41:44.850   -51.736625313742          108.4685886621342         
22 Jan 2025 02:43:16.002   -51.27641738577485        117.5361724147792         
22 Jan 2025 02:44:47.148   -50.07729940655674        126.2712547611303         
22 Jan 2025 02:46:18.285   -48.20376713696116        134.4443927976961         
22 Jan 2025 02:47:49.408   -45.74299655092997        141.9275769621411         
22 Jan 2025 02:49:20.512   -42.78900802994629        148.6875583055694         
22 Jan 2025 02:50:51.593   -39.43118222413474        154.7583881932184         
22 Jan 2025 02:52:22.650   -35.74820999866915        160.2117871286479         
22 Jan 2025 02:53:53.680   -31.80636804676254        165.134536506366          
22 Jan 2025 02:55:24.684   -27.66028596147212        169.6147040119695         
22 Jan 2025 02:56:55.661   -23.35465347744745        173.7348925103034         
22 Jan 2025 02:58:26.615   -18.92617818637084        177.5697811826878         
22 Jan 2025 02:59:57.548   -14.40546377110866        -178.8139930788136        
22 Jan 2025 03:01:28.463   -9.818670053108743        -175.3568040902592        
22 Jan 2025 03:02:59.367   -5.188723632168293        -172.0043700368839        
22 Jan 2025 03:04:30.262   -0.5366671901092811       -168.7061905802545        
22 Jan 2025 03:06:01.155   4.117519323439763         -165.4136752561145        
22 Jan 2025 03:07:32.050   8.754037736994484         -162.078388214221         
22 Jan 2025 03:09:02.954   13.35223929764964         -158.6504020217701        
22 Jan 2025 03:10:33.871   17.88969082699473         -155.0765334584237        
22 Jan 2025 03:12:04.803   22.34111473155294         -151.2985881459919        
22 Jan 2025 03:13:35.757   26.67712921242665         -147.2517139975878        
22 Jan 2025 03:15:06.732   30.86262300821629         -142.8632467466789        
22 Jan 2025 03:16:37.732   34.85506842106584         -138.052326648949         
22 Jan 2025 03:18:08.758   38.60241586880141         -132.7317951893928        
22 Jan 2025 03:19:39.809   42.04132750180958         -126.8136666131909        
22 Jan 2025 03:21:10.882   45.09597812079422         -120.2212486701752        
22 Jan 2025 03:22:41.981   47.67941773465098         -112.9087272068891        
22 Jan 2025 03:24:13.098   49.69785115807019         -104.8908519307234        
22 Jan 2025 03:25:44.234   51.06120622311605         -96.27135577117633        
22 Jan 2025 03:27:15.379   51.69806177251197         -87.25730753612895        
22 Jan 2025 03:28:46.531   51.57168096341246         -78.1372483689055         
22 Jan 2025 03:30:17.685   50.68948028693112         -69.22395082415643        
22 Jan 2025 03:31:48.835   49.10103992473017         -60.7840319514756         
22 Jan 2025 03:33:19.976   46.8857316378846          -52.99102092337956        
22 Jan 2025 03:34:51.105   44.13626179591574         -45.91667558515903        
22 Jan 2025 03:36:22.218   40.94505054932775         -39.55249593760546        
22 Jan 2025 03:37:53.310   37.39589121776633         -33.83999951239866        
22 Jan 2025 03:39:24.379   33.56049972889468         -28.69683350303547        
22 Jan 2025 03:40:55.425   29.49837975245163         -24.0342974387942         
22 Jan 2025 03:42:26.448   25.25826863855124         -19.76687639511037        
22 Jan 2025 03:43:57.449   20.88011999812007         -15.81635003058208        
22 Jan 2025 03:45:28.429   16.39702418189471         -12.11270444035608        
22 Jan 2025 03:46:59.392   11.8368233121543          -8.59338117056951         
22 Jan 2025 03:48:30.342   7.223751700716193         -5.202026222698638        
22 Jan 2025 03:50:01.283   2.579526869778134         -1.886706777887181        
22 Jan 2025 03:51:32.219   -2.07558475961223         1.401812304795907         
22 Jan 2025 03:53:03.155   -6.721790014665892        4.71178109259097          
22 Jan 2025 03:54:34.096   -11.33889372060761        8.092213122724262         
22 Jan 2025 03:56:05.046   -15.90543127972529        11.59467010595207         
22 Jan 2025 03:57:36.017   -20.39793385359014        15.27527001206378         
22 Jan 2025 03:59:06.997   -24.78821715013605        19.19511254229984         
22 Jan 2025 04:00:37.996   -29.04423153592483        23.42356682197916         
22 Jan 2025 04:02:09.014   -33.12696138446113        28.03794295759195         
22 Jan 2025 04:03:40.054   -36.98883609173868        33.12307812503472         
22 Jan 2025 04:05:11.116   -40.57169256136289        38.76763274951538         
22 Jan 2025 04:06:42.200   -43.8052672463896         45.05533644431522         
22 Jan 2025 04:08:13.302   -46.60710063483223        52.04853276580354         
22 Jan 2025 04:09:44.422   -48.88550307158939        59.7630252006134          
22 Jan 2025 04:11:15.556   -50.54714138913293        68.13729714386015         
22 Jan 2025 04:12:46.700   -51.51032065679865        77.00969078327249         
22 Jan 2025 04:14:17.848   -51.7212807044266         86.12219475714068         
22 Jan 2025 04:15:48.998   -51.16747925241346        95.16399001432139         
22 Jan 2025 04:17:20.142   -49.8809446342064         103.8401999912157         
22 Jan 2025 04:18:51.277   -47.92987885195562        111.9329665751461         
22 Jan 2025 04:20:22.397   -45.40309317687176        119.3270130984355         
22 Jan 2025 04:21:53.498   -42.39452562671534        125.9990970091287         
22 Jan 2025 04:23:24.576   -38.99246739577015        131.9893979334215         
22 Jan 2025 04:24:55.630   -35.27408898003828        137.3725486784502         
22 Jan 2025 04:26:26.657   -31.30423962669484        142.2359654334778         
22 Jan 2025 04:27:57.657   -27.13615260474033        146.667394415653          
22 Jan 2025 04:29:28.630   -22.81344969213569        150.7485049644127         
22 Jan 2025 04:30:59.580   -18.37198659896696        154.5529613968353         
22 Jan 2025 04:32:30.509   -13.84175127319268        158.1464529170999         
22 Jan 2025 04:34:01.420   -9.24844033327515         161.5878558799506         
22 Jan 2025 04:35:32.318   -4.614790827055995        164.930819368106          
22 Jan 2025 04:37:03.208   0.03848173459057814       168.2256170405004         
22 Jan 2025 04:38:34.098   4.691492679461278         171.5207380602675         
22 Jan 2025 04:40:04.990   9.324335056456828         174.8646668010698         
22 Jan 2025 04:41:35.892   13.91618899733706         178.3076296402467         
22 Jan 2025 04:43:06.807   18.44440557076489         -178.0966116556034        
22 Jan 2025 04:44:37.739   22.8832131418563          -174.2891737701442        
22 Jan 2025 04:46:08.693   27.20265517272086         -170.2042562145965        
22 Jan 2025 04:47:39.670   31.36680240828089         -165.7681665360674        
22 Jan 2025 04:49:10.673   35.33204681921653         -160.8991177287805        
22 Jan 2025 04:50:41.702   39.04505533989871         -155.5094042503171        
22 Jan 2025 04:52:12.757   42.44092643490185         -149.5116885904135        
22 Jan 2025 04:53:43.825   45.44209755263145         -142.8324454244962        
22 Jan 2025 04:55:14.925   47.96092325087234         -135.4305860561073        
22 Jan 2025 04:56:46.045   49.90318233972103         -127.3307908372494        
22 Jan 2025 04:58:17.180   51.18017293908132         -118.6495942851073        
22 Jan 2025 04:59:48.325   51.72401003890186         -109.6057956287149        
22 Jan 2025 05:01:19.477   51.50306893267435         -100.4946831773641        
22 Jan 2025 05:02:50.631   50.53032840097369         -91.62703358739945        
22 Jan 2025 05:04:21.780   48.85985403218213         -83.25969886899877        
22 Jan 2025 05:05:52.922   46.57350300436855         -75.55324673989789        
22 Jan 2025 05:07:24.050   43.76466293288752         -68.56828655566737        
22 Jan 2025 05:08:55.162   40.52499244199701         -62.28837235933181        
22 Jan 2025 05:10:26.253   36.93688332836012         -56.65080967178491        
22 Jan 2025 05:11:57.323   33.07047097132858         -51.57166502053492        
22 Jan 2025 05:13:28.370   28.98384773672329         -46.96228626294199        
22 Jan 2025 05:14:59.394   24.72461107953499         -42.73797467992153        
22 Jan 2025 05:16:30.395   20.33178761732548         -38.82152112753487        
22 Jan 2025 05:18:01.377   15.83765877129251         -35.14381816622886        
22 Jan 2025 05:19:32.340   11.2696763390242          -31.64325644765575        
22 Jan 2025 05:21:03.291   6.651621403898035         -28.26405106077681        
22 Jan 2025 05:22:34.233   2.004987671914569         -24.95470260065231        
22 Jan 2025 05:24:05.170   -2.65005540657947         -21.66619889291509        
22 Jan 2025 05:25:36.108   -7.293694784880007        -18.35030418332443        
22 Jan 2025 05:27:07.051   -11.90571947128339        -14.95772279636424        
22 Jan 2025 05:28:38.004   -16.46438730425079        -11.4364952015595         
22 Jan 2025 05:30:08.976   -20.94567816179962        -7.730012755494606        
22 Jan 2025 05:31:39.961   -25.32124718785393        -3.776035945774652        
22 Jan 2025 05:33:10.963   -29.55811955460797        0.4956302249817576        
22 Jan 2025 05:34:41.989   -33.61644394091332        5.16343673228176          
22 Jan 2025 05:36:13.035   -37.44729451276636        10.31281141937563         
22 Jan 2025 05:37:44.103   -40.99114252846896        16.0324948650118          
22 Jan 2025 05:39:15.192   -44.17612880211549        22.40455926834592         
22 Jan 2025 05:40:46.300   -46.91847214045966        29.48725357425008         
22 Jan 2025 05:42:17.423   -49.12569454201905        37.28834185064233         
22 Jan 2025 05:43:48.559   -50.70511064902195        45.73483134304529         
22 Jan 2025 05:45:19.704   -51.57760928439301        54.65225307814239         
22 Jan 2025 05:46:50.854   -51.69395677912534        63.77309335775973         
22 Jan 2025 05:48:22.002   -51.04717773087657        72.78442348432623         
22 Jan 2025 05:49:53.144   -49.67444064802597        81.39819711314647         
22 Jan 2025 05:51:24.277   -47.64735623421246        89.40883410107485         
22 Jan 2025 05:52:55.394   -45.05615167951306        96.71341645610715         
22 Jan 2025 05:54:26.494   -41.99449294811973        103.29829464269           
22 Jan 2025 05:55:57.570   -38.54950263525932        109.209293549694          
22 Jan 2025 05:57:28.621   -34.79683542175361        114.5235874679966         
22 Jan 2025 05:58:59.646   -30.79979907740429        119.3291908542029         
22 Jan 2025 06:00:30.644   -26.61038051140365        123.7132650693969         
22 Jan 2025 06:02:01.616   -22.27110897663874        127.7565783318591         
22 Jan 2025 06:03:32.564   -17.81707684826867        131.5317297916288         
22 Jan 2025 06:05:03.491   -13.27768147611611        135.1034883170324         
22 Jan 2025 06:06:34.399   -8.678211064054794        138.5299860960693         
22 Jan 2025 06:08:05.295   -4.040965366101432        141.8644608194361         
22 Jan 2025 06:09:36.183   0.6132903129225046        145.1567272902535         
22 Jan 2025 06:11:07.069   5.264838426251973         148.4552675646474         
22 Jan 2025 06:12:37.958   9.893676418230113         151.808661142011          
22 Jan 2025 06:14:08.855   14.47879957489356         155.2674591107597         
22 Jan 2025 06:15:39.767   18.99728064112077         158.8859870517004         
22 Jan 2025 06:17:10.697   23.42302021395439         162.7239922208606         
22 Jan 2025 06:18:41.649   27.72528445001886         166.8480897742253         
22 Jan 2025 06:20:12.626   31.86735868046724         171.3330476632589         
22 Jan 2025 06:21:43.629   35.80455880007096         176.2615875800006         
22 Jan 2025 06:23:14.658   39.48216697373324         -178.2782325808145        
22 Jan 2025 06:24:45.713   42.83378230585191         -172.199816688273         
22 Jan 2025 06:26:16.785   45.78039632717639         -165.4324331828902        
22 Jan 2025 06:27:47.886   48.23316879998006         -157.9413379086894        
22 Jan 2025 06:29:19.007   50.09782872501134         -149.76127712446          
22 Jan 2025 06:30:50.142   51.28735599355407         -141.0214512792406        
22 Jan 2025 06:32:21.288   51.7375849465489          -131.9523487047917        
22 Jan 2025 06:33:52.439   51.42217774154715         -122.8550702470436        
22 Jan 2025 06:35:23.590   50.35963059736086         -114.0370759014771        
22 Jan 2025 06:36:54.738   48.60831300495473         -105.7449398382333        
22 Jan 2025 06:38:25.877   46.2523371448077          -98.12620010494429        
22 Jan 2025 06:39:57.003   43.38549166545096         -91.23043643008656        
22 Jan 2025 06:41:28.112   40.09857821511478         -85.03385727512322        
22 Jan 2025 06:42:59.201   36.47256073444733         -79.46998125547158        
22 Jan 2025 06:44:30.269   32.57605669845617         -74.45361081621996        
22 Jan 2025 06:46:01.314   28.46575585187373         -69.89622635170628        
22 Jan 2025 06:47:32.337   24.18806548302974         -65.71391489195901        
22 Jan 2025 06:49:03.338   19.78105750061494         -61.83045901834972        
22 Jan 2025 06:50:34.319   15.27642951163782         -58.1778247090893         
22 Jan 2025 06:52:05.282   10.70106143927144         -54.69516292147595        
22 Jan 2025 06:53:36.233   6.078433345920009         -51.32734185504123        
22 Jan 2025 06:55:07.175   1.429781655904325         -48.02323380147813        
22 Jan 2025 06:56:38.113   -3.224799708101704        -44.73403120690986        
22 Jan 2025 06:58:09.052   -7.865547567811558        -41.41142915606754        
22 Jan 2025 06:59:39.996   -12.47203885333939        -38.0059566664881         
22 Jan 2025 07:01:10.951   -17.02231243537627        -34.46518495919828        
22 Jan 2025 07:02:41.920   -21.49179232302835        -30.73199276413722        
22 Jan 2025 07:04:12.908   -25.85203508617717        -26.74290788833695        
22 Jan 2025 07:05:43.917   -30.06920181557918        -22.42679802028012        
22 Jan 2025 07:07:14.948   -34.10228926751153        -17.70437791142258        
22 Jan 2025 07:08:46.002   -37.90124538968796        -12.48939591823583        
22 Jan 2025 07:10:17.078   -41.40498619194386        -6.693381402176911        
22 Jan 2025 07:11:48.174   -44.540174540534          -0.2359756116222814       
22 Jan 2025 07:13:19.289   -47.22164662640846        6.936381377366366         
22 Jan 2025 07:14:50.419   -49.35632135485199        14.82309813028724         
22 Jan 2025 07:16:21.562   -50.85235324576315        23.33943291588744         
22 Jan 2025 07:17:52.711   -51.63341526503525        32.2979571239474          
22 Jan 2025 07:19:23.863   -51.65502024447621        41.42234137403675         
22 Jan 2025 07:20:55.011   -50.91581417456852        50.3987842421386          
22 Jan 2025 07:22:26.153   -49.45793903292699        58.94705077178064         
22 Jan 2025 07:23:57.284   -47.35623066207648        66.87386503272049         
22 Jan 2025 07:25:28.397   -44.70207465019431        74.08865979310634         
22 Jan 2025 07:26:59.492   -41.58872918281949        80.58687863411524         
22 Jan 2025 07:28:30.564   -38.10204788541135        86.41962012521032         
